Functional SecurityRole Name,Description,SecurityRole,EmailId
MROLOCPUR,MRO Procurement,CB02RW,
MROLOCPUR,MRO Procurement,MD15RO,
MROLOCPUR,MRO Procurement,MD16RO,
MROLOCPUR,MRO Procurement,OR01RW,
MROLOCPUR,MRO Procurement,OR02RW,
MROLOCPUR,MRO Procurement,OR04RW,
MROLOCPUR,MRO Procurement,OR05RW,
MROLOCPUR,MRO Procurement,PU01RW,
MROLOCPUR,MRO Procurement,PU02RW,
MROLOCPUR,MRO Procurement,PU05RW,
MROLOCREC,MRO PO Receiving,CB01RW,
MROLOCREC,MRO PO Receiving,CB02RO,
MROLOCREC,MRO PO Receiving,CB03RW,
MROLOCREC,MRO PO Receiving,MD16RO,
MROLOCREC,MRO PO Receiving,OR01RW,
MROLOCREC,MRO PO Receiving,OR02RW,
MROLOCREC,MRO PO Receiving,OR04RW,
MROLOCREC,MRO PO Receiving,OR05RW,
MROLOCREC,MRO PO Receiving,PU01RW,
MROLOCREC,MRO PO Receiving,PU05RW,
MROMGMTGL,MROMGMTGL,GL02RO,
MROMGMTGL,MROMGMTGL,GL05RO,
MROMGMTGL,MROMGMTGL,MD10RW,
MROMGMTGL,MROMGMTGL,RP01RO,
MROOPER,MROOPER,MD10RW,
MROPLAN,MROPLAN,AP02RO,
MROPLAN,MROPLAN,AP02RW,
MROPLAN,MROPLAN,GL02RO,
MROPLAN,MROPLAN,MD10RW,
MROPLAN,MROPLAN,MD13RO,
MROPLAN,MROPLAN,MD16RO,
MROPLANCO,MROPLANCO,AP01RW,
MROPLANCO,MROPLANCO,AP02RO,
MROPLANCO,MROPLANCO,AP02RW,
MROPLANCO,MROPLANCO,AP04RW,
MROPLANCO,MROPLANCO,AR01RW,
MROPLANCO,MROPLANCO,AR02RO,
MROPLANCO,MROPLANCO,AR02RW,
MROPLANCO,MROPLANCO,GL01RW,
MROPLANCO,MROPLANCO,MD10RW,
MROPLANGL,MROPLANGL,AP02RO,
MROPLANGL,MROPLANGL,AP02RW,
MROPLANGL,MROPLANGL,GL02RO,
MROPLANGL,MROPLANGL,GL05RO,
MROPLANGL,MROPLANGL,MD10RW,
MROPLANGL,MROPLANGL,MD16RO,
MROPLANGL,MROPLANGL,RP01RO,
MROPLCPO,MROPLCPO,AP02RO,
MROPLCPO,MROPLCPO,AP02RW,
MROPLCPO,MROPLCPO,MD10RW,
MROPLCPO,MROPLCPO,MD13RO,
MROPLCPO,MROPLCPO,MD16RO,
MROPLNOPO,MROPLNOPO,AP02RO,
MROPLNOPO,MROPLNOPO,AP02RW,
MROPLNOPO,MROPLNOPO,MD10RW,
MROPLNOPO,MROPLNOPO,MD13RO,
MROPLNOPO,MROPLNOPO,MD16RO,
MROPLPOGL,MROPLPOGL,AP02RO,
MROPLPOGL,MROPLPOGL,AP02RW,
MROPLPOGL,MROPLPOGL,GL02RO,
MROPLPOGL,MROPLPOGL,GL05RO,
MROPLPOGL,MROPLPOGL,MD10RW,
MROPLPOGL,MROPLPOGL,MD13RO,
MROPLPOGL,MROPLPOGL,MD16RO,
MROPLPOGL,MROPLPOGL,RP01RO,
MROPURCH,MROPURCH,AP02RO,
MROPURCH,MROPURCH,AP02RW,
MROPURCH,MROPURCH,MD14RW,
MROPURCH,MROPURCH,MD16RO,
MROPURCH,MROPURCH,MD16RW,
MROPURCOS,MROPURCOS,AP02RO,
MROPURCOS,MROPURCOS,AP02RW,
MROPURCOS,MROPURCOS,MD10RW,
MROPURCOS,MROPURCOS,MD14RW,
MROPURCOS,MROPURCOS,MD16RO,
MROPURCOS,MROPURCOS,MD16RW,
MROPURGL,MROPURGL,AP02RO,
MROPURGL,MROPURGL,AP02RW,
MROPURGL,MROPURGL,GL02RO,
MROPURGL,MROPURGL,GL05RO,
MROPURGL,MROPURGL,MD14RW,
MROPURGL,MROPURGL,MD16RO,
