MMCONO|MMDIVI|MMITNO|MMCFIS|MMIIPI|MMCIPI|MMXPI1|MMCPIS|MMRPIS|MMCOFI|MMXCCO|MMRCOF|MMXIMP|MMIORI|MMXSAT|MMRGDT|MMRGTM|MMLMDT|MMCHID|MMCHNO|MMEXIP|MMBICM|MMBCST|MMVPIS|MMVCOF|MMFCIN|MMGTIN|MMIMPA|MMEXOA|MMIMPE|MMUNMS|MMCOPI|MMXIPF|MMXICS|MMXITT|MMXSTP|MMXRSC|MMXIIC|MMLMTS
1||010953|84133030|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535280
1||011-00504-00|85269100|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122535286
1||011-01064-00||\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122535292
1||011-01064-40||\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535298
1||011072|84145990|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122535304
1||011074|34023990|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122535310
1||011225|88073000|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535316
1||011603|48119011|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|EA|\N|\N|\N|\N|\N|\N|\N|1784122535323
1||01174009.|30039099|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122535329
1||011952|19053100|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122541836
1||012031|39269090|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|EA|\N|\N|\N|\N|\N|\N|\N|1784122541843
1||012242|34023990|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|AL|\N|\N|\N|\N|\N|\N|\N|1784122541850
1||012340|48119011|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|RL|\N|\N|\N|\N|\N|\N|\N|1784122541856
1||012342|90212900|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122541863
