MMCONO|MMDIVI|MMITNO|MMCFIS|MMIIPI|MMCIPI|MMXPI1|MMCPIS|MMRPIS|MMCOFI|MMXCCO|MMRCOF|MMXIMP|MMIORI|MMXSAT|MMRGDT|MMRGTM|MMLMDT|MMCHID|MMCHNO|MMEXIP|MMBICM|MMBCST|MMVPIS|MMVCOF|MMFCIN|MMGTIN|MMIMPA|MMEXOA|MMIMPE|MMUNMS|MMCOPI|MMXIPF|MMXICS|MMXITT|MMXSTP|MMXRSC|MMXIIC|MMLMTS
1|801|7024440-1901|90149000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122448934
1|801|7025410-1901|90149000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122448943
1|801|7026531-1902|88073000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122448950
1|801|7026883-902|84716053|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122448958
1|801|7029194-1801|85371090|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122448967
1|801|703-A-KAGS.00|88073000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122448974
1|801|70351-08049-104|39172900|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122448982
1|801|7036340-802|85241100|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|UN|0|0|0|||0||1784122448989
1|801|7038231-1904|84311090|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122448997
1|801|703A91-0040-00|84311090|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449005
1|801|703A91-0203-00|84311090|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449043
1|801|703A92-0020-00|73262000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449050
1|801|703A92-2100-21|84311090|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449058
1|801|703A94-0000-21|90261029|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449067
1|801|703A94-6807-00|90318099|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449099
1|801|703A94680700|90318099|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449107
1|801|70400-06660-048|40169300|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122449115
1|801|70400-06695-102|40169300|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122449123
1|801|70437-721-110|85043111|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|EA|0|0|0|||0||1784122449131
1|801|704A31-2110-20|40169990|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|EA|0|0|0|||0||1784122449138
1|801|704A33-220-033|88073000|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|EA|0|0|0|||0||1784122449146
1|801|704A33-633-198|90212900|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449156
1|801|704A34-121-011|73269090|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122449163
1|801|704A34-240-012|84798932|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|PC|0|0|0|||0||1784122449171
1|801|704A34-543-023|90212900|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122449179
1|801|704A34-612-004|90212900|0|0|0|0|0|0|0|0|0|1|3|20260601|182747|20260715|ABENAVIDES|2||3|0|0|0|||0|0|0|KG|0|0|0|||0||1784122449187
