iacono|iadivi|iafaci|iawhlo|iapuno|iaorty|iapotc|iapusl|iasldt|iapust|iascdt|iacmco|iapudt|iasuno|ialncd|iacucd|iatepy|iapyme|iamodl|iatedl|iateaf|iatepa|iarfid|iayre1|iadwdt|iahddt|iaprsu|iaourr|iaourt|iaagnt|iantam|iabram|iaotba|iapurc|iabuye|iaaure|ialedt|iafusc|iaexat|iaptac|iartac|iaexav|ianopp|ianoln|iamtwp|iamtdp|iacoam|iaodam|iaotpc|iaprla|iavol3|iagrwe|iatoqt|iatfno|ialred|iaatdt|iapopo|iatel1|iadudt|iacute|iaagra|iapyad|iashvi|iafids|iarcdt|ialidt|iaexep|iainep|iatlex|iatlin|iateor|iatxid|iaprtx|iapotx|iadtid|iaproj|iaelno|iaeclc|iacpri|iahafe|iatihm|iamedc|iargdt|iargtm|ialmdt|iachno|iachid|ialmts|iaprvw|iarasn|iafecn|iauca1|iauca2|iauca3|iauca4|iauca5|iauca6|iauca7|iauca8|iauca9|iauca0|iaudn1|iaudn2|iaudn3|iaudn4|iaudn5|iaudn6|iauid1|iauid2|iauid3|iauct1|iaporg|iasram
300|088|088|US1|2100000441|D04|20|35|20251003|35|20251003|04|20251001|20062|GB|USD|N90|ACH|003|DAP||001|||20251003|0|||||129.81|129.81|0|USSPATE|USSPATE||20251001||0|0|0|1|0|3|0|0|129.81|0|0|1|0|0|6||0|0|1||0|0|0|HQ|||0|0|9.09|0|0|0|0|0|0|0|0||||||0||20251001|200513|20251003|14|USSPATE|1759498430538|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000442|D01|20|20|20251003|20|20251003|04|20251002|20027|GB|USD|N30|SN1|003|FOB||001|||20251017|20251017|||||823.2|823.2|0|MECSVC|MECSVC|USSPATE|20251003||0|0|0|1|0|1|0|0|823.2|0|0|1|0|0|14||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251002|153509|20251003|3|USSPATE|1759502473258|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000443|D01|20|20|20251003|20|20251003|04|20251003|20027|GB|USD|N30|SN1|003|FOB||001|||20251017|20251017|||||180|180|0|USCBOJA|USSPATE||20251003||0|0|0|1|0|1|0|0|180|0|0|1|0|0|4||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251003|114229|20251003|0|MOVEX|1759502473876|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000444|D01|20|35|20251009|35|20251009|04|20251003|20006|GB|USD|N75|WIR|001|FOB||001|||20251212|20251215|||||2627.53|2627.53|0|USKOUTH|USKOUTH||20251003||0|0|0|1|0|12|0|0|2627.53|0|0|1|0|0|3205||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251003|123603|20251009|12|USKOUTH|1760033992950|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000445|D01|20|35|20251009|35|20251009|04|20251003|20007|GB|USD|N75|WIR|001|FOB||001|||20251128|20251128|||||2758.42|2758.42|0|USKOUTH|USKOUTH||20251003||0|0|0|0|0|1|0|0|2758.42|0|0|1|0|0|7259||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251003|123605|20251009|3|USKOUTH|1760034522878|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000446|D01|20|20|20251003|20|20251003|04|20251003|20027|GB|USD|N30|SN1|003|FOB||001|||20251017|20251017|||||216|216|0|USCBOJA|USSPATE||20251003||0|0|0|1|0|1|0|0|216|0|0|1|0|0|4||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251003|131552|20251003|0|MOVEX|1759502474726|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000447|D04|20|85|20251008|85|20251008|04|20251003|20062|GB|USD|N90|ACH|003|DAP||001|||20251007|20251008|||||312.9|312.9|0|USSPATE|USSPATE||20251003||0|0|0|1|0|5|0|0|312.9|0|0|1|0|0|12||0|20251008|1||0|0|0|HQ|||20251006|20251003|21.9|0|0|0|0|0|0|0|0||||||0||20251003|143643|20251003|17|USSPATE|1759925545859|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000448|D01|20|20|20251008|20|20251008|04|20251006|20027|GB|USD|N30|SN1|003|FOB||001|||20251020|20251020|||||4032|4032|0|USCBOJA|USSPATE||20251008||0|0|0|1|0|1|0|0|4032|0|0|1|0|0|80||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251006|143309|20251006|0|MOVEX|1759945599942|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000449|D01|20|20|20251008|20|20251008|04|20251006|20027|GB|USD|N30|SN1|003|FOB||001|||20251020|20251020|||||626.4|626.4|0|MECSVC|MECSVC|USSPATE|20251008||0|0|0|1|0|1|0|0|626.4|0|0|1|0|0|12||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251006|180508|20251008|7|USSPATE|1759945600660|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|2100000450|D01|20|00|20251006|99|20251006|04|20251006|20013|GB|USD|N21|ACH|003|DAP||001|||20251013|0|||||0|0|0|USKOUTH|USKOUTH||0||0|0|0|0|0|0|0|0|0|0|0|1|0|0|0||0|0|0||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20251006|184141|20251006|2|USKOUTH|1759776117962|0|||||||||||||0|0|0|0|0|0|0|0|0|||
