tdcono|tddivi|tdidtr|tdmvxp|tdextp|tdmvxd|tdmbmd|tdtx15|tdtx40|tdtxid|tdrgdt|tdrgtm|tdlmdt|tdchno|tdchid
100||60|||MaxWeight|2750|2750|2750|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||N|AMA|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132134|20260505|1|SCOUGHLAN
100||60|||N|DHL|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132134|20260505|1|SCOUGHLAN
100||60|||N|FX1|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132134|20260505|1|SCOUGHLAN
100||60|||N|FX2|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132134|20260505|1|SCOUGHLAN
100||60|||N|FX3|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132134|20260505|1|SCOUGHLAN
100||60|||N|FX4|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132134|20260505|1|SCOUGHLAN
100||60|||N|FX5|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132134|20260505|1|SCOUGHLAN
100||60|||N|FX6|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132134|20260505|1|SCOUGHLAN
100||60|||N|FX7|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132134|20260505|1|SCOUGHLAN
100||60|||N|FX8|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132134|20260505|1|SCOUGHLAN
100||60|||N|UP1|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132134|20260505|1|SCOUGHLAN
100||60|||N|UP2|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132134|20260505|1|SCOUGHLAN
100||60|||N|UP3|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132134|20260505|1|SCOUGHLAN
100||60|||N|UP4|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132135|20260505|1|SCOUGHLAN
100||60|||N|UP5|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132135|20260505|1|SCOUGHLAN
100||60|||N|UP6|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132135|20260505|1|SCOUGHLAN
100||60|||N|UP7|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132135|20260505|1|SCOUGHLAN
100||60|||N|UP8|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132135|20260505|1|SCOUGHLAN
100||60|||N|US1|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132135|20260505|1|SCOUGHLAN
100||60|||N|US2|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132135|20260505|1|SCOUGHLAN
100||60|||N|UW1|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132135|20260505|1|SCOUGHLAN
100||60|||N|UW2|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132135|20260505|1|SCOUGHLAN
100||60|||N|UW3|SkipDeliveryMet|SkipDeliveryMethod|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C20|WFCOM|WFCOM|WFCOM|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0000119207615DR|0000119207615DR|0000119207615DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0000119207615DS|0000119207615DS|0000119207615DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|001399054DR|001399054DR|001399054DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|001399054DS|001399054DS|001399054DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0038556400000DR|0038556400000DR|0038556400000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0038556400000DS|0038556400000DS|0038556400000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0064000980000DR|0064000980000DR|0064000980000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0064000980000DRDR|C21|C21|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0064000980000DRDS|C21|C21|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0064000980000DS|0064000980000DS|0064000980000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0069660300000DR|0069660300000DR|0069660300000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0069660300000DS|0069660300000DS|0069660300000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|006986483DR|006986483DR|006986483DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|006986483DS|006986483DS|006986483DS|0|20260505|132135|20260505|1|SCOUGHLAN
