CIFILE	CISOPT	CITX40	CITX15	CIKEY1	CIAGG1	CIDSC1	CIKEY2	CIAGG2	CIDSC2	CIKEY3	CIAGG3	CIDSC3	CIKEY4	CIAGG4	CIDSC4	CIKEY5	CIAGG5	CIDSC5	CIKEY6	CIAGG6	CIDSC6	CIKEY7	CIAGG7	CIDSC7	CIKEY8	CIAGG8	CIDSC8	CIKEY9	CIAGG9	CIDSC9	CIKE10	CIAG10	CIDS10	CIKE11	CIAG11	CIDS11	CIKE12	CIAG12	CIDS12	CIKE13	CIAG13	CIDS13	CIKE14	CIAG14	CIDS14	CIKE15	CIAG15	CIDS15	CISEL1	CISOK1	CIOPR1	CIVAL1	CISEL2	CISOK2	CIOPR2	CIVAL2	CISEL3	CISOK3	CIOPR3	CIVAL3	CISEL4	CISOK4	CIOPR4	CIVAL4	CISEL5	CISOK5	CIOPR5	CIVAL5	CISEL6	CISOK6	CIOPR6	CIVAL6	CISTAT	CITXID	CIRGDT	CIRGTM	CILMDT	CICHNO	CICHID	CIMS51	CIMS52	CIMS53	CIMS54	CILMTS	CIJNSO	CIJNTB	CISOPM	CISOPJ	CISECF
MMOPTR    	71	MMOPTR71	MMOPTR71       	QJFACI	0	0	QJEMNO	0	0	QJSTDT	0	0	QJOSTM	0	0	QJPLGR	0	0	QJOPTP	0	0	QJSQNO	0	0	QJPRNO	0	0	QJMWNO	0	0	QJOPNO	0	0	QJTRDT	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WFAC3	WEM05	WSTD1	WOS52	1395482897080	0	          	  	  	
MMOPTR    	72	MMOPTR72	MMOPTR72       	QJFACI	0	0	QJPRNO	0	0	QJMWNO	0	0	QJOPNO	0	0	QJSTDT	0	0	QJOSTM	0	0	QJOPTP	0	0	QJSQNO	0	0	QJTRDT	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WFAC3	WPR01	WMW06	WOP12	1395482897095	0	          	  	  	
MMOPTR    	74	MMOPTR74	MMOPTR74       	QJEMNO	0	0	QJMWNO	0	0	QJOPNO	0	0	QJSTDT	0	0	QJOSTM	0	0	QJPCTP	0	0	QJFACI	0	0	QJPRNO	0	0	QJTRDT	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WEM05	WMW06	WOP12	WSTD1	1395482897095	0	          	  	  	
MMOPTR    	75	MMOPTR75	MMOPTR75       	QJEMNO	0	0	QJOPTP	0	0	QJREID	0	0	QJFICD	0	0	QJWOSQ	0	0	QJFACI	0	0	QJPRNO	0	0	QJMWNO	0	0	QJOPNO	0	0	QJTRDT	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WEM05	WOP38	WRE36	WFI12	1395482897095	0	          	  	  	
MMOPTR    	76	MMOPTR76	MMOPTR76       	QJEMNO	0	0	QJSTDT	0	0	QJOSTM	0	0	QJFACI	0	0	QJPRNO	0	0	QJMWNO	0	0	QJOPNO	0	0	QJTRDT	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WEM05	WSTD1	WOS52	WFAC3	1395482897095	0	          	  	  	
MMOPTR    	77	MMOPTR77	MMOPTR77       	QJEMNO	0	0	QJSTDT	0	0	QJOSTM	0	0	QJMWNO	0	0	QJOPNO	0	0	QJFACI	0	0	QJPRNO	0	0	QJTRDT	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WEM05	WSTD1	WOS52	WMW06	1395482897095	0	          	  	  	
MMOPTR    	78	MMOPTR78	MMOPTR78       	QJTMNO	0	0	QJEMNO	0	0	QJSTDT	0	0	QJOSTM	0	0	QJWOSQ	0	0	QJFACI	0	0	QJPRNO	0	0	QJMWNO	0	0	QJOPNO	0	0	QJTRDT	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WTM05	WEM05	WSTD1	WOS52	1395482897111	0	          	  	  	
MMOPTR    	79	MMOPTR79	MMOPTR79       	QJFACI	0	0	QJTMNO	0	0	QJEMNO	0	0	QJSTDT	0	0	QJOSTM	0	0	QJWOSQ	0	0	QJPRNO	0	0	QJMWNO	0	0	QJOPNO	0	0	QJTRDT	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WFAC3	WTM05	WEM05	WSTD1	1395482897111	0	          	  	  	
MMOPTR    	80	MMOPTR80	MMOPTR80       	QJTMNO	0	0	QJWOSQ	0	0	QJEMNO	0	0	QJSTDT	0	0	QJOSTM	0	0	QJFACI	0	0	QJPRNO	0	0	QJMWNO	0	0	QJOPNO	0	0	QJTRDT	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WTM05	WWO02	WEM05	WSTD1	1395482897111	0	          	  	  	
MMOPTR    	81	MMOPTR81	MMOPTR81       	QJFACI	0	0	QJREAR	0	0	QJSTDT	0	0	QJOSTM	0	0	QJPLGR	0	0	QJOPTP	0	0	QJSQNO	0	0	QJPRNO	0	0	QJMWNO	0	0	QJOPNO	0	0	QJTRDT	0	0	QJTRTM	0	0	QJTMSX	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20140322	30817	20140322	0	MOVEX     	WFAC3	WRE02	WSTD1	WOS52	1395482897111	0	          	  	  	
